IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
192.200.160.222,2052,0,false,SJC,North America,San Jose,249,10.40
65.75.193.21,37813,0,true,SJC,North America,San Jose,233,10.26
192.0.54.160,2052,0,false,SJC,North America,San Jose,266,9.91
154.197.121.72,2052,0,false,SJC,North America,San Jose,268,9.42
77.37.33.212,2052,0,false,SJC,North America,San Jose,212,9.39
154.219.5.231,2052,0,false,SJC,North America,San Jose,253,9.31
216.24.57.174,2052,0,false,SJC,North America,San Jose,206,8.51
130.250.137.169,2052,0,false,SJC,North America,San Jose,252,8.49
141.11.202.88,2052,0,false,SJC,North America,San Jose,281,8.19
45.205.0.119,2052,0,false,SJC,North America,San Jose,201,8.04
198.62.62.137,2052,2052,false,SJC,North America,San Jose,240,7.55
130.250.137.9,2052,0,false,SJC,North America,San Jose,214,7.35
156.238.18.184,2052,2052,false,SJC,North America,San Jose,274,7.17
45.205.0.12,2052,0,false,SJC,North America,San Jose,166,7.02
141.11.203.13,2052,0,false,SJC,North America,San Jose,275,6.91
216.24.57.176,2052,0,false,SJC,North America,San Jose,250,6.91
135.84.76.138,2052,0,false,SJC,North America,San Jose,271,6.36
198.62.62.33,2052,2052,false,SJC,North America,San Jose,260,6.13
154.219.5.90,2052,2052,false,SJC,North America,San Jose,263,6.06
77.75.199.207,2052,0,false,SJC,North America,San Jose,285,5.84
14.102.229.170,2052,0,false,SJC,North America,San Jose,200,5.77
167.68.5.211,2052,2052,false,SJC,North America,San Jose,283,5.65
185.133.35.33,2052,2052,false,SJC,North America,San Jose,275,5.60
216.221.213.171,2052,0,false,SJC,North America,San Jose,219,5.41
156.229.48.22,2052,0,false,SJC,North America,San Jose,263,5.41
63.141.128.83,2052,0,false,SJC,North America,San Jose,234,5.27
212.183.88.84,2052,2052,false,SJC,North America,San Jose,218,5.26
167.68.5.237,2052,2052,false,SJC,North America,San Jose,270,5.15
192.200.160.218,2052,2052,false,SJC,North America,San Jose,227,5.15
154.92.9.250,2052,0,false,SJC,North America,San Jose,232,4.96
167.68.5.164,2052,0,false,SJC,North America,San Jose,226,4.87
192.0.63.140,2052,0,false,SJC,North America,San Jose,257,4.79
154.219.5.199,2052,0,false,SJC,North America,San Jose,241,4.77
66.81.247.98,2052,2052,false,SJC,North America,San Jose,274,4.52
206.238.237.6,2052,2052,false,SJC,North America,San Jose,251,4.46
160.123.255.17,2052,2052,false,SJC,North America,San Jose,226,4.40
45.135.235.86,2052,2052,false,SJC,North America,San Jose,278,4.37
160.123.255.223,2052,0,false,SJC,North America,San Jose,239,4.05
77.37.33.209,2052,0,false,SJC,North America,San Jose,235,4.02
154.197.121.152,2052,0,false,SJC,North America,San Jose,256,3.99
206.238.237.176,2052,0,false,SJC,North America,San Jose,213,3.95
198.62.62.26,2052,2052,false,SJC,North America,San Jose,245,3.86
192.0.63.3,2052,0,false,SJC,North America,San Jose,303,3.79
185.133.35.245,2052,0,false,SJC,North America,San Jose,268,3.77
45.67.215.183,2052,0,false,SJC,North America,San Jose,263,3.76
